"--@#1"
"##1434515017048"
"Translation Key","en"
"label.installationdate","Installation date"
"label.interim","Interim"
"label.interval","Interval"
"label.is.required","is required"
"label.itemname","Item Name"
"label.itemvalue","Item Value"
"label.javaclassname","Java Class Name"
"label.javascript","JavaScript"
"label.jdbcdriver","JDBC Driver"
"label.jndidatasource","Database"
"label.jndidatasourcehint","You can configure Databases in Conductor"
"label.jndidatasourceinvalid","The configured Database does not exist, please choose another one."
"label.joinwaitingtime","Join waiting time"
"label.key","Key"
"label.keywords","Keywords"
"label.label","Label"
"label.labeltype.export","Export"
"label.labeltype.import","Import"
"label.labeltype.manual","Manual"
"label.language","Language"
"label.last","Last"
"label.lastactivity","Last activity"
"label.lastfourweeks","Last 4 Weeks"
"label.lastloggedin","You last logged in"
"label.lastmonthdateformat","Last 4 Weeks Format"
"label.lastsevendays","Last 7 Days"
"label.lasttwelvemonths","Last 12 Months"
"label.lasttwentyfourhours","Last 24 Hours"
"label.lastupdated","Last Updated"
"label.lastupdatedby","Last Updated By"
"label.lastupdateddatetime","Last updated on {0}"
"label.lastweekdateformat","Last 7 Days Date Format"
"label.license.type.demo","Demo"
"label.license.type.dev","Development"
"label.license.type.production","Production"
"label.license.type.test","Test"
"label.limituserlogins","Limit User Logins"
"label.location","Location"
"label.locations","Locations"
"label.lockoutreason.forever","(User account has been locked out forever due to authentication violation)"
"label.lockoutreason.maximumlogincountexceeded","(Maximum login count has been reached)"
"label.lockoutreason.temporary","(User account has been temporarily locked out for  "
"label.lockoutreason.temporaryaccountexpired","(Temporary account has expired)"
"label.lockoutreason.undetermined","(User account locked with undetermined reason)"
"label.lockoutreason.userinactivity","(User account has been disabled due to inactivity)"
"label.logger.enabledstate.default","{0} (Default)"
"label.logger.enabledstate.inherited","{0} (Inherited)"
"label.logger.loglevel.debug","Debug"
"label.logger.loglevel.default","Default/Inherited"
"label.logger.loglevel.error","Error"
"label.logger.loglevel.fatal","Fatal"
"label.logger.loglevel.info","Info"
"label.logger.loglevel.trace","Trace"
"label.logger.loglevel.warn","Warn"
"label.login.disclaimer","Disclaimer"
"label.login.disclaimer.show.once","Show once"
"label.login.page.path","Login Page Path"
"label.login.welcome.msg","Message"
"label.login.welcome.msg.enable","Enable Message"
"label.login.welcome.msg.section","Welcome Message"
"label.login.welcome.msg.title","Title"
"label.logindisclaimer","Login Disclaimer"
"label.logindn","Login DN"
"label.loginpagehtml","Login Page HTML"
"label.loginpagelogourl","Login Page Logo URL"
"label.loginpagetitle","Login Page Title"
"label.loginpassword","Login Password"
"label.loginscript","Login Script"
"label.logintimeout","Login Timeout"
"label.logo","Logo"
"label.logout","Logout"
"label.logoutscript","Logout Script"
"label.longdateformat","Long date format"
"label.lookfor","Look For"
"label.lowercase.to","to"
"label.lowerdefaultvalue","Lower Default Value"
"label.lowmappings","Low mappings"
"label.mail.fromaddress","Default ''from'' address"
"label.mail.fromname","Default ''from'' name"
"label.mail.replytoaddress","Default ''reply-to'' address"
"label.mail.smtppass","SMTP pass"
"label.mail.smtpport","SMTP server port"
"label.mail.smtpserver","SMTP server"
"label.mail.smtpuser","SMTP user"
"label.mail.test.success","Email sent successfully."
"label.mail.test.toaddress","Send test mail to"
"label.mark","Mark"
"label.mark.allread","All as Read"
"label.mark.latestunread","Latest as Unread"
"label.markas","Mark As"
"label.markas.read","Read"
"label.markas.unread","Unread"
"label.markdocumentasreaddelay","Mark a document as read after {0} seconds"
"label.markedasreviewed","Reviewed"
"label.mask","Mask"
"label.maxcontextparticipants","Max context participants"
"label.maximizedentrypoint","Maximized Entry Point"
"label.maximumfilesize","Maximum File Size"
"label.maximumnumberofdocumentstodisplay","Maximum Number Of Documents To Display"
"label.maximumresultsinpdf","Maximum Results In PDF"
"label.maxpendingtime","Max pending time"
"label.maxpingresponsetime","Max ping response time"
"label.maxpublishtime","Max publish time"
"label.maxtestsselected","Maximum of {0} tests already selected"
"label.maxthreads","Max Threads"
"label.maxtransactiontime","Max transaction time"
"label.memberof","Member of"
"label.members","Members"
"label.membersattribute","Members Attribute"
"label.menubarlogourl","Menu Bar Logo URL"
"label.menubaruseridtooltip","Menu Bar User ID Tooltip"
"label.mergefromfile","Merge from file"
"label.message","Message"
"label.messagedriverclassname","Message Driver Class Name"
"label.messaging.archive.auto.update","Auto update"
"label.messaging.archive.content.truncated","...

 Content truncated at {0} bytes. Download message to view full content."
"label.messaging.archive.download.message","Download Message"
"label.messaging.archive.message.count","Message Count"
"label.messaging.archive.message.id","Message Id"
"label.messaging.archive.messagetype.message","Message"
"label.messaging.archive.messagetype.response","Response"
"label.messaging.archive.no.errors","There are no errors"
"label.messaging.archive.no.message.found","Message not found"
"label.messaging.archive.no.response.found","Response not found"
"label.messaging.archive.no.selection","No message selected"
"label.messaging.archive.response.code","Response Code"
"label.messaging.archive.search.from","From"
"label.messaging.archive.search.identifier","Identifier"
"label.messaging.archive.search.identifier.domain","in"
"label.messaging.archive.search.identifier.value","is"
"label.messaging.archive.search.to","To"
"label.messaging.archive.search.tooltip","Manual search is only enabled when polling is off"
"label.messaging.download.all.definitions","Download All Definitions"
"label.messaging.download.selected.definition","Download Selected"
"label.messaging.endpoint.action","Action"
"label.messaging.endpoint.action.start","Start"
"label.messaging.endpoint.action.stop","Stop"
"label.messaging.endpoint.archive.profile","Archive Profile"
"label.messaging.endpoint.connections","Connections"
"label.messaging.endpoint.description","Description"
"label.messaging.endpoint.details.inbound","Inbound Endpoint Details"
"label.messaging.endpoint.details.outbound","Outbound Endpoint Details"
"label.messaging.endpoint.direction","Direction"
"label.messaging.endpoint.direction.inbound","Inbound"
"label.messaging.endpoint.direction.outbound","Outbound"
"label.messaging.endpoint.direction.outbound.asynchronous","Asynchronous outbound"
"label.messaging.endpoint.encoding","Encoding"
"label.messaging.endpoint.host.port","Destination"
"label.messaging.endpoint.hostname","Host Name"
"label.messaging.endpoint.name","Name"
"label.messaging.endpoint.pool.size","Pool size"
"label.messaging.endpoint.port","Port"
"label.messaging.endpoint.priority","Priority"
"label.messaging.endpoint.queue.length","Maximum queue length"
"label.messaging.endpoint.state.error","Error: {0}"
"label.messaging.endpoint.state.started","Started"
"label.messaging.endpoint.state.stopped","Stopped"
"label.messaging.endpoint.status","Status"
"label.messaging.endpoint.timeout.unlimited.hint","mls. Use 0 for unlimited"
"label.messaging.endpoint.unlimited.hint","Use 0 for unlimited"
"label.messaging.endpoint.waiting.timeout","Response Timeout"
"label.messaging.incoming.definition","Incoming Message Definition: {0}"
"label.messaging.outgoing.definition","Outgoing Message Definition: {0}"
"label.messaging.response.definition","Response Message Definition: {0}"
"label.metadata.column.id","ID"
"label.metadata.column.node","Node"
"label.metadata.column.type","Type"
"label.metadata.local.id","Local ID"
"label.metadata.no.properties.found","No properties found"
"label.metadata.node.id","Node ID"
"label.method","Method"
"label.metric.additional.recipients","Also send to"
"label.metric.enable.collection","Enable collection"
"label.metric.full.enable.collection","Allow Orion Health Platform to collect product use metrics"
"label.metric.full.send.to.orion","Send product use metrics to Orion Health"
"label.metric.mail.unconfigured","You will be unable to send metrics until the Mail service is correctly configured."
"label.metric.scheduled.tasks","The scheduled task ''{0}'' determines when and how often metrics are collected."
"label.metric.send.to.orion","Send to Orion"
"label.minimizedentrypoint","Minimized Entry Point"
"label.minimumlength","Minimum length"
"label.minutes","Minutes"
"label.months","Months(s)"
"label.mrn","MRN"
"label.multiplevaluesallowed","Multiple Values Allowed"
"label.name","Name"
"label.nameparts","Name Parts"
"label.nameprefix","Name Prefix"
"label.names","Names"
"label.namespace","Namespace"
"label.namesuffix","Name Suffix"
"label.new.password","New Password"
"label.newpassword","New Password"
"label.newpasswordreset","New password"
"label.no","No"
"label.noactivetasks","No background tasks are currently active"
"label.nochangesinfile","There are no changes in the file compared to the current configuration"
"label.nochangessincelabel","There were no changes made to the configuration since the date of the chosen label."
"label.node","Node"
"label.node.path","Node Path"
"label.node.path.error","The node path must not be the same as any of the context paths"
"label.node.specific","(Node Specific)"
"label.none","None"
"label.nonedefault","None [Default]"
"label.noresultsmessage","No Results Message"
"label.normalmappings","Normal mappings"
"label.nosharedusersareconfigured","No shared users are configured"
"label.not.authenticated","{0} (not authenticated)"
"label.notapplicable","Not applicable."
"label.notes","Notes"
"label.notestsselected","No tests selected"
"label.nothingselected","No configuration item selected"
"label.notificationattributes","Notification Attributes"
"label.notificationbody","Notification Body"
"label.notificationsubject","Notification Subject"
"label.notmemberof","Not a member of"
"label.notsignedoffvalue","Not signed off value"
"label.numberallowed","Number Allowed"
"label.numbertestsselected","{0} tests selected"
"label.observationdate","Observation Date"
"label.older","All Previous"
"label.oldpassword","Old Password"
"label.onconcertotimeout","On Clinical Portal Timeout"
"label.onetestselected","1 test selected"
"label.onrowselection","On Row Selection"
"label.onsetdate","Onset date"
"label.opendocument","Open Document"
"label.openfolder","Open Folder"
"label.openingmode","Opening Mode"
"label.openinwindow","Open in a New Window"
"label.optioncolumnname","Option Column Name"
"label.options","Options"
"label.optionvalue","Option Value"
"label.order","Order"
"label.orderby","Order By"
"label.ordercolumnname","Order column name"
"label.orderingprovider","Ordering Provider"
"label.ordernumber","Order Number"
"label.ordernumber.laboratory","Order Number"
"label.ordernumber.microbiology","Order Number"
"label.ordernumber.radiology","Order Number"
"label.orderresultsby","Order Results By"
"label.originalmessage","Original Message"
"label.osgi.console","Console"
"label.outpatientencounter","Outpatient Encounter"
"label.output","Output"
"label.overridereasons","Override Reasons"
"label.package.favicon","Package Favicon"
"label.package.logo","Package Logo"
"label.package.name","Package Name"
"label.parameters","Parameters"
"label.parent","Parent"
"label.parentfoldercolumnname","Parent folder column name"
"label.parentfoldername","Parent Folder Name"
"label.passcode","Passcode"
"label.password","Password"
"label.password.confirm","Confirm New Password"
"label.password.new","New Password"
"label.passwordgeneratorclassname","Password generator class name"
"label.passwordpolicy","Password Policy"
"label.patient.identifiertype.primary","MRN"
"label.patient.identifiertype.secondary","ID"
"label.patient.identity.source","Scripted DAS Patient Identity Source"
"label.patientid","Patient ID"
"label.patientidtype","Patient ID Type"
"label.patientname","Patient Name"
"label.pattern.help","Pattern Attributes"
"label.performance.log.enabled","Enabled"
"label.performance.log.lower.bound","Ignore events shorter than"
"label.performance.log.page.title","Performance Log"
"label.performance.log.section.title","Log file settings"
"label.performance.log.size.warning","Changing the log size here only affects future messages, it will not remove older log files. To reclaim disk space used by performance log files, you must manually delete these files from disk."
"label.performance.log.snapshotinterval","Snapshot interval"
"label.performance.log.start","Log event start"
"label.performance.log.total.log.size","Total log size"
"label.periodofuncertainty","Period of Uncertainty"
"label.permituseroverride","Permit User Override"
"label.pixelabbreviation","px"
"label.placeholder.dateofbirth.day","Day"
"label.placeholder.dateofbirth.year","Year"
"label.placeholder.fullname.given","First Name(s)"
"label.placeholder.fullname.surname","Last Name"
"label.placernotes","Placer Notes"
"label.policyselectorclassname","{0} Policy Selector Class Name"
"label.port","Port"
"label.portal.export","Export"
"label.portal.identity.external","External ID"
"label.portal.identity.identitytypeprovided","Identity Type Provided"
"label.portal.identity.ignoredgroups","Ignored groups"
"label.portal.identity.standard.concertoattributename","Concerto Attribute Name"
"label.portal.identity.standard.concertogroupname","Concerto Group Name"
"label.portal.identity.standard.standardattributename","Standard Attribute Name"
"label.portal.identity.useridnamespace","User ID Namespace"
"label.portal.import","Import"
"label.portal.merge","Merge"
"label.portalpage","Portal Page"
"label.portalprivacybackendconfiguration","Clinical Portal Privacy Service"
"label.portalprivacybackendconfiguration.entitycontextviewname","Patient Context View"
"label.portalprivacybackendconfiguration.entityidentifieritemname","Patient ID Context Item"
"label.portalprivacybackendconfiguration.portalidentifiernamespace","User Identity Namespace"
"label.portalprivacybackendconfiguration.privacy.portal.version","Web Service Version"
"label.portalprivacybackendconfiguration.privacy.portal.version.portal_7_0","Portal 7.0"
"label.portalprivacybackendconfiguration.privacy.portal.version.portal_7_4","Portal 7.4 "
"label.portalprivacybackendconfiguration.privacy.service.id","Privacy Service Id"
"label.portalprivacyconfiguration.general.allowallnamespaces","Full Access Namespaces"
"label.portalprivacyconfiguration.general.secondarybackendenabled","Enable Secondary Back-End"
"label.portalprivacyconfiguration.general.secondarynamespaces","Secondary Namespaces"
"label.portalwebservice.server","Portal Server"
"label.portalwebservice.server.authenticationmethod","Authentication Method"
"label.portalwebservice.server.clientcertificate","Client Certificate"
"label.portalwebservice.server.description","Description"
"label.portalwebservice.server.name","Name"
"label.portalwebservice.server.servercertificate","Server Certificate"
"label.portalwebservice.server.serverurl","Server URL"
"label.portalwebservice.server.usernametokenpassword","Server Password"
"label.preferredlanguage","Language"
"label.print","Print"
"label.privacy.implementation","Privacy Implementation"
"label.privacysealtimeout","Open privacy seal timeout"
"label.privilege","Privilege"
"label.problem.embeddeddatabaseinenvironment","Embedded databases cannot be used while in an OHP Group"
"label.problems","Problems"
"label.problems.body.accesslogenabled","Access logging is enabled"
"label.problems.body.accesslogrunning","The Access log will continue to log events to disk until disabled."
"label.problems.body.authenticator.missing","Security Domain {0} needs an Authenticator configured"
"label.problems.body.backup.dir.error.not.exist.locally","The {0} Archive Profile does not have the backup directory on this node."
"label.problems.body.bundle.incomplete","Bundle {0} is in an incomplete binding state or with resolution failures."
"label.problems.body.bundle.incomplete.plural","{0} bundles are found in incomplete binding states or with resolution failures. "
"label.problems.body.cache.tuning.required","The {0} cache is full and reducing system performance."
"label.problems.body.codeset.unconfigured","The Code Set {0} does not have a Code Set Provider Configured. It cannot be used."
"label.problems.body.com.orchestral.foundation.webserver.partial.integration","Platform is not fully integrated with the website {0}"
"label.problems.body.concerto6identitysource.concertoserver.notconfigured","The Concerto Server is missing."
"label.problems.body.concerto6identitysource.primarynamespace.notconfigured","The Primary Namespace is missing."
"label.problems.body.concerto7identitysource.primarynamespace.notconfigured","The Primary Namespace is missing."
"label.problems.body.concerto7identitysource.usermanagerserviceid.notconfigured","The User Manager Web Service Id configuration is missing. This must reference a valid conductor configured 'Consumed Web Service' name"
"label.problems.body.configuration.schema.upgrade.required","The configuration database schema needs to be updated"
"label.problems.body.contextpathprefixchanged","A new context path prefix has been configured, you must restart platform for it to take effect."
"label.problems.body.das.codesetprovider.contextitem.unavailable","The context item ''{0}'' is unavailable for scripted code set provider ''{1}''."
"label.problems.body.das.dataadapter.contextitem.unavailable","The context item ''{0}'' is unavailable for generic data adaptor ''{1}''."
"label.problems.body.das.domain.adaptordomainversionmismatch","The Health Domain ''{0}'' and the selected adaptor have different versions."
"label.problems.body.das.domain.adaptorwithinvalidstatusselected","The Health Domain ''{0}'' has adaptor with ''{1}'' status selected."
"label.problems.body.das.domain.noadaptorselected","The Health Domain ''{0}'' needs an adaptor configured for it."
"label.problems.body.das.domainadapter.contextitem.unavailable","The context item ''{0}'' is unavailable for domain adaptor ''{1}''."
"label.problems.body.das.listadapter.contextitem.unavailable","The context item ''{0}'' is unavailable for generic list adaptor ''{1}''."
"label.problems.body.das.servicemanager.contextitem.unavailable","The context item ''{0}'' is unavailable for service manager ''{1}''."
"label.problems.body.database.configured","Some configurations have been provided for the {0} database, but the connection is not yet established."
"label.problems.body.database.created","The {0} database is empty with no tables."
"label.problems.body.database.error","An error has occurred while attempting to connect to the {0} database."
"label.problems.body.database.notempty","There are some tables in the {0} database but the expected ones are not present."
"label.problems.body.database.unconfigured","More configuration is needed to connect to the {0} database."
"label.problems.body.database.unconfigured.optional","More configuration is needed to connect to the optional {0} database."
"label.problems.body.databasedriver.classname.missing","The {0} database driver has no classname supplied."
"label.problems.body.databasedriver.notregistered","The {0} database driver is not registered with the platform."
"label.problems.body.databasedriver.type.missing","The {0} database driver has no type selected."
"label.problems.body.databasedriver.url.missing","The {0} database driver has no URL specified."
"label.problems.body.databasedriver.url.wrong.driver","The {0} database driver's URL is not accepted by the specified driver."
"label.problems.body.databasedriver.url.wrong.global","The {0} database driver's URL is not accepted by a driver registered with the platform."
"label.problems.body.databasepool.checkconnection.missing","The {0} database pooling profile needs the Check Connection type specified."
"label.problems.body.databasepool.maintenanceinterval.missing","The {0} database pooling profile needs the Pool Maintenance Interval specified."
"label.problems.body.databasepool.maxage.missing","The {0} database pooling profile needs the Connection Idle Timeout specified."
"label.problems.body.databasepool.maxopentime.missing","The {0} database pooling profile needs the Maximum Open Time specified."
"label.problems.body.databasepool.maxpool.missing","The {0} database pooling profile needs the Maximum Pool Size specified."
"label.problems.body.databasepool.maxpool.small","The {0} database pooling profile should have a larger value for Maximum Pool Size"
"label.problems.body.databasepool.maxwaiters.missing","The {0} database pooling profile needs the Maximum Waiters specified."
"label.problems.body.databasepool.minpool.missing","The {0} database pooling profile needs the Minimum Pool Size specified."
"label.problems.body.databasepool.minpool.small","The {0} database pooling profile should have a larger value for Minimum Pool Size"
"label.problems.body.databasepool.name.missing","The {0} database pooling profile needs the Name specified."
"label.problems.body.databasepool.statementcache.missing","The {0} database pooling profile needs the Prepared Statement Cache Size specified."
"label.problems.body.databasepool.statsinterval.missing","The {0} database pooling profile needs the Pool Shrinkage specified."
"label.problems.body.databasepool.timeout.missing","The {0} database pooling profile needs the Wait Timeout specified."
"label.problems.body.databaseserver.host.missing","The {0} database server has a blank host name configuration."
"label.problems.body.databaseserver.host.unresolvable","The {0} database server cannot be resolved."
"label.problems.body.databaseserver.port.invalid","The {0} database server has an invalid port configured."
"label.problems.body.databaseserver.port.missing","The {0} database server has a blank port configuration."
"label.problems.body.debugmode","Debug logging is enabled. To disable, click on this line to go to the Logging perspective."
"label.problems.body.document.unconfigured","The Document ''{0}'' is missing the required XSL file."
"label.problems.body.documentlist.unconfigured","Some fields are missing or invalid"
"label.problems.body.embedded.serverenabled","The Embedded Database Network Server is enabled which is not valid for a production environment."
"label.problems.body.embeddeddatabaseinuse","The current configuration uses embedded databases which are not valid for a production environment."
"label.problems.body.environment.not.connected","This node has failed while attempting to connect to the configured OHP Group."
"label.problems.body.environment.partially.connected","This node has connected to some, but not all, of the nodes in the configured OHP Group."
"label.problems.body.genericuserdatabase.invalidview","The Generic User Database Views are Out of Date or Invalid. See the log for more details."
"label.problems.body.inbound.endpoint.exception","The {0} inbound endpoint failed to start: {1}"
"label.problems.body.inbound.endpoint.stopped","The {0} inbound endpoint is currently stopped."
"label.problems.body.internal.license","Orion internal license is in use "
"label.problems.body.ldap.identitysource.unconfigured","LDAP server {0} that provides Identity Source is unconfigured, Identity Service cannot be started till it''s fixed"
"label.problems.body.ldap.noconnection","Cannot connect to the LDAP server {0}."
"label.problems.body.ldap.unconfigured","The LDAP configuration {0} is incomplete causing errors."
"label.problems.body.license.expired","The license for {0} has expired."
"label.problems.body.license.expiry.near","The license for {0} is due to expire on {2}."
"label.problems.body.license.missing","No license was found for {0}, version {1}."
"label.problems.body.locale.translations.missing","The {0} locale is missing {1} translations."
"label.problems.body.mail.unconfigured","The Mail configuration is incomplete causing errors."
"label.problems.body.outbound.endpoint.exception","The {0} outbound endpoint failed to start: {1}"
"label.problems.body.outbound.endpoint.stopped","The {0} outbound endpoint is currently stopped."
"label.problems.body.outbound.endpoint.unconfigured","The {0} outbound endpoint is unconfigured."
"label.problems.body.prerelease","This is a pre-release software and not valid for use in production systems."
"label.problems.body.privacy.allowall","You should not use the allow all privacy source implementation, it does not apply any privacy constraints."
"label.problems.body.privacy.unconfigured","You must select a privacy source implementation."
"label.problems.body.redirection.key.invalid","The redirection key for {0} is invalid and must be reconfigured."
"label.problems.body.relationship.global.mapping.missing","Relationship Type (name={0}) does not have a mapping."
"label.problems.body.relationship.global.mapping.source.missing","Relationship Type (name={0}) does not have a source configured."
"label.problems.body.relationship.global.mapping.type.missing","Relationship Type (name={0}) does not have a source type configured."
"label.problems.body.security.domain.missing","User Domain {0} should be mapped to a Security Domain"
"label.problems.body.staledatabase.stale","The {0} database is stale."
"label.problems.body.webservice.client.httpswithwsdl","The web service {0} is configured to use HTTPS security with a WSDL."
"label.problems.heading.accesslogenabled","Access logging is enabled"
"label.problems.heading.accesslogrunning","Access log is running"
"label.problems.heading.authenticator.missing","Unconfigured Security Domain"
"label.problems.heading.backup.dir.error.not.exist.locally","Message Archive backup directory does not exist."
"label.problems.heading.bundle.incomplete","A bundle did not start"
"label.problems.heading.bundle.incomplete.plural","Some bundles did not start"
"label.problems.heading.cache.tuning.required","Cache tuning recommended"
"label.problems.heading.codeset.unconfigured","A Code Set has no Provider Configured"
"label.problems.heading.com.orchestral.foundation.webserver.partial.integration","Platform is partially integrated with a webserver"
"label.problems.heading.concerto6identitysource.concertoserver.notconfigured","Portal 6.x User Identity Source is not configured properly."
"label.problems.heading.concerto6identitysource.primarynamespace.notconfigured","Portal 6.x User Identity Source is not configured properly."
"label.problems.heading.concerto7identitysource.primarynamespace.notconfigured","The Portal 7 User Identity Source ''{0}'' is not configured properly."
"label.problems.heading.concerto7identitysource.usermanagerserviceid.notconfigured","The Portal 7 User Identity Source ''{0}'' is not configured properly."
"label.problems.heading.configuration.schema.upgrade.required","Configuration schema update required"
"label.problems.heading.contextpathprefixchanged","Context path prefix changed"
"label.problems.heading.das.codesetprovider.contextitem.unavailable","A context item is unavailable."
"label.problems.heading.das.dataadapter.contextitem.unavailable","A context item is unavailable."
"label.problems.heading.das.domain.adaptordomainversionmismatch","A Health Domain adaptor version mismatch."
"label.problems.heading.das.domain.adaptorwithinvalidstatusselected","A Health Domain has adaptor with invalid status selected."
"label.problems.heading.das.domain.noadaptorselected","A Health Domain Has No Adaptor Selected"
"label.problems.heading.das.domainadapter.contextitem.unavailable","A context item is unavailable."
"label.problems.heading.das.listadapter.contextitem.unavailable","A context item is unavailable."
"label.problems.heading.das.servicemanager.contextitem.unavailable","A context item is unavailable."
"label.problems.heading.database.configured","Failed to connect to a database"
"label.problems.heading.database.created","A required database is empty"
"label.problems.heading.database.error","Error connecting to a database"
"label.problems.heading.database.notempty","Required database tables missing"
"label.problems.heading.database.unconfigured","Database configuration required"
"label.problems.heading.database.unconfigured.optional","Unconfigured optional database"
"label.problems.heading.databasedriver.classname.missing","A database driver has a blank classname configuration"
"label.problems.heading.databasedriver.notregistered","A database driver is not registered with the platform"
"label.problems.heading.databasedriver.type.missing","A database driver has no type selected"
"label.problems.heading.databasedriver.url.missing","A database driver has a blank URL configuration"
"label.problems.heading.databasedriver.url.wrong.driver","A database driver has an incorrect URL configuration"
"label.problems.heading.databasedriver.url.wrong.global","A database driver has an incorrect URL configuration"
"label.problems.heading.databasepool.checkconnection.missing","A database pooling profile isn't correctly configured"
"label.problems.heading.databasepool.maintenanceinterval.missing","A database pooling profile isn't correctly configured"
"label.problems.heading.databasepool.maxage.missing","A database pooling profile isn't correctly configured"
"label.problems.heading.databasepool.maxopentime.missing","A database pooling profile isn't correctly configured"
"label.problems.heading.databasepool.maxpool.missing","A database pooling profile isn't correctly configured"
"label.problems.heading.databasepool.maxpool.small","A database pooling profile is poorly configured"
"label.problems.heading.databasepool.maxwaiters.missing","A database pooling profile isn't correctly configured"
"label.problems.heading.databasepool.minpool.missing","A database pooling profile isn't correctly configured"
"label.problems.heading.databasepool.minpool.small","A database pooling profile is poorly configured"
"label.problems.heading.databasepool.name.missing","A database pooling profile isn't correctly configured"
"label.problems.heading.databasepool.statementcache.missing","A database pooling profile isn't correctly configured"
"label.problems.heading.databasepool.statsinterval.missing","A database pooling profile isn't correctly configured"
"label.problems.heading.databasepool.timeout.missing","A database pooling profile isn't correctly configured"
"label.problems.heading.databaseserver.host.missing","A database server is not fully configured"
"label.problems.heading.databaseserver.host.unresolvable","A database server cannot be resolved"
"label.problems.heading.databaseserver.port.invalid","A database server is not fully configured"
"label.problems.heading.databaseserver.port.missing","A database server is not fully configured"
"label.problems.heading.debugmode","Debug logging enabled"
"label.problems.heading.document.unconfigured","A Document isn''t configured"
"label.problems.heading.documentlist.unconfigured","Document List is not properly configured"
"label.problems.heading.embedded.serverenabled","Embedded Network Server is enabled"
"label.problems.heading.embeddeddatabaseinuse","An embedded database is in use"
"label.problems.heading.environment.not.connected","Failed to connect to OHP Group"
"label.problems.heading.environment.partially.connected","Connected to a subset of expected nodes"
"label.problems.heading.genericuserdatabase.invalidview","Generic User Database Views are Invalid"
"label.problems.heading.inbound.endpoint.exception","Exception starting inbound endpoint"
"label.problems.heading.inbound.endpoint.stopped","Stopped inbound endpoint"
"label.problems.heading.internal.license","Internal License in use"
"label.problems.heading.ldap.identitysource.unconfigured","LDAP server that provides Identity Source is unconfigured"
"label.problems.heading.ldap.noconnection","No connection to LDAP server"
"label.problems.heading.ldap.unconfigured","LDAP server is unconfigured "
"label.problems.heading.license.expired","A license has expired"
"label.problems.heading.license.expiry.near","A license is about to expire"
"label.problems.heading.license.missing","Missing license"
"label.problems.heading.locale.translations.missing","Missing translations for {0}"
"label.problems.heading.mail.unconfigured","Mail settings are invalid"
"label.problems.heading.outbound.endpoint.exception","Exception starting outbound endpoint"
"label.problems.heading.outbound.endpoint.stopped","Stopped outbound endpoint"
"label.problems.heading.outbound.endpoint.unconfigured","Unconfigured outbound endpoint"
"label.problems.heading.prerelease","This is a pre-release software"
"label.problems.heading.privacy.allowall","Privacy configuration is invalid"
"label.problems.heading.privacy.unconfigured","Privacy configuration is invalid"
"label.problems.heading.redirection.key.invalid","A redirection key is invalid"
"label.problems.heading.relationship.global.mapping.missing","Relationship Type Mapping Missing"
"label.problems.heading.relationship.global.mapping.source.missing","Relationship Type Source Not Configured"
"label.problems.heading.relationship.global.mapping.type.missing","Relationship Type Source Value Not Configured"
"label.problems.heading.security.domain.missing","User Domain is unconfigured "
"label.problems.heading.staledatabase.stale","A database is stale"
"label.problems.heading.webservice.client.httpswithwsdl","A web service has invalid configuration "
"label.productname","Product Name"
"label.productversion","Product Version"
"label.profile.backup.dir.error.blank","The archive backup directory cannot be empty"
"label.profile.backup.dir.error.does.not.exist","The directory path must exist on each node"
"label.profile.backup.dir.error.ends.with.blank","The directory path begins or ends with whitespace"
"label.profile.disable.message.deletion","Keep messages in the message log"
"label.profile.enable.message.deletion","Remove messages from the message log"
"label.profile.message.archive.backup.directory","Backup directory"
"label.profile.message.archive.backup.directory.absolute.file.path","Absolute path"
"label.profile.message.archive.backup.directory.note","Please make sure that this directory exists on all nodes in the OHP Group."
"label.profile.message.archive.before.delete","Archive messages before deletion"
"label.profile.message.deletion.after.date","after"
"label.profile.message.deletion.after.date.period","days"
"label.profile.message.deletion.keep.at.least","keeping at least"
"label.prohibitblankpassword","Prohibit Blank Password"
"label.provider.identity.source","Scripted DAS Provider Identity Source"
"label.provisioning.change.repository","Please enter the path to the repository"
"label.provisioning.configuration.schema.upgrade","The applications you have selected require a newer version of the configuration schema. Please select the upgrade mode:"
"label.provisioning.confirm.install","The selected applications will replace the existing set of installed applications. This will cause Orion Platform to automatically restart.

Are you sure you want to do this?"
"label.provisioning.current.version","(current version: {0})"
"label.provisioning.import.successful","Import successful."
"label.provisioning.no.applications","None found"
"label.provisioning.repository","Repository:"
"label.provisioning.show.all","All"
"label.provisioning.show.applications","Show applications:"
"label.provisioning.show.top.level","Top-level"
"label.provisioning.upgrade.automatic.button","Automatically upgrade the configuration schema when platform restarts"
"label.provisioning.upgrade.automatic.description","After installation has finished, platform will automatically restart and apply the configuration schema upgrades."
"label.provisioning.upgrade.manual.button","Manually upgrade the configuration schema"
"label.provisioning.upgrade.manual.description","Download the scripts from the link below.
Once installation has finished, platform will shutdown.
Apply the database scripts manually to the configuration database while platform is stopped, then start platform.
Platform will not automatically restart if this option is chosen."
"label.publishedsearchname","Published name"
"label.publishsearch","Publish search results as REST UI"
"label.query","Query"
"label.queue.overview.backlogcount","Backlog Count"
"label.queue.overview.name","Name"
"label.queue.overview.status","Status"
"label.queue.overview.suspendcount","Suspend Count"
"label.range","Range"
"label.raw.email.subject","Raw email subject"
"label.rde.patient.datasource","Data Source"
